,Dia,Hora, P(MW), Q(Mvar),Nome Elo
Elo_FOZ-IBIUNA,03,03-30,3669.0,1788.87,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,03,04-00,3672.0,1790.8500000000001,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,03,04-30,3672.0,1790.8500000000001,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,03,05-00,3582.0,1731.81,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,03,05-30,3507.0,1683.12,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,03,06-00,3249.0,1519.0500000000002,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,03,06-30,1650.0,706.98,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,03,07-00,1882.0,840.18,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,03,07-30,1618.0,689.16,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,03,08-00,1632.0,696.94,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,03,08-30,1648.0,705.86,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,03,09-00,1662.0,713.68,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,03,09-30,1850.0,821.38,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,03,10-00,1950.0,880.56,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,03,10-30,1954.0,882.94,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,03,11-00,2170.0,1015.22,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,03,11-30,3006.0,1369.56,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,03,12-00,1666.0,715.92,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,03,12-30,2042.0,936.12,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,03,13-00,2572.0,1276.58,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,03,13-30,3291.0,1545.3899999999999,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,03,14-00,3687.0,1800.75,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,03,14-30,3696.0,1806.69,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,03,15-00,3696.0,1806.69,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,03,15-30,3573.0,1725.96,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,03,16-00,3696.0,1806.69,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,03,16-30,3696.0,1806.69,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,03,17-00,3696.0,1806.69,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,03,17-30,3696.0,1806.69,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,03,18-00,3321.0,1564.29,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,03,18-30,3321.0,1564.29,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,03,19-00,3321.0,1564.29,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,03,19-30,3321.0,1564.29,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,03,20-00,3321.0,1564.29,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,03,20-30,3321.0,1564.29,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,03,21-00,3321.0,1564.29,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,03,21-30,3321.0,1564.29,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,03,22-00,3669.0,1788.87,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,03,22-30,3669.0,1788.87,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,03,23-00,3669.0,1788.87,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,03,23-30,3669.0,1788.87,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,04,00-00,1972.0,893.74,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,04,00-30,1970.0,892.54,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,04,01-00,1942.0,875.78,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,04,01-30,2006.0,914.26,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,04,02-00,1964.0,888.94,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,04,02-30,2006.0,914.26,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,04,03-00,2008.0,915.46,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,04,03-30,2010.0,916.68,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,04,04-00,2014.0,919.1,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,04,04-30,2018.0,921.52,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,04,05-00,2022.0,923.96,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,04,05-30,2024.0,925.16,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,04,06-00,2028.0,927.6,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,04,06-30,2032.0,930.04,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,04,07-00,2034.0,931.24,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,04,07-30,2038.0,933.68,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,04,08-00,3171.0,1470.54,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,04,08-30,3753.0,1844.52,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,04,09-00,4668.0,2485.77,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,04,09-30,4680.0,2494.62,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,04,10-00,4788.0,2574.5099999999998,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,04,10-30,4782.0,2570.04,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,04,11-00,4776.0,2565.57,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,04,11-30,4767.0,2558.91,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,04,12-00,4659.0,2479.17,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,04,12-30,4557.0,2404.6499999999996,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,04,13-00,4611.0,2444.0099999999998,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,04,13-30,4734.0,2534.46,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,04,14-00,4722.0,2525.58,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,04,14-30,3162.0,1464.96,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,04,15-00,3312.0,1558.62,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,04,15-30,3003.0,1367.76,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,04,16-00,3891.0,1937.16,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,04,16-30,4485.0,2352.5099999999998,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,04,17-00,4479.0,2348.19,Elo_FOZ-IBIUNA
