,Dia,Hora,MW:From-To,Mvar:From-To
EXP_NE,04,08-00,6606.6,-1067.0
EXP_NE,04,08-30,6287.0,-873.9000000000001
EXP_NE,04,09-00,5735.7,-881.1
EXP_NE,04,09-30,5303.9,-1133.0
EXP_NE,04,10-00,5463.3,-1002.2
EXP_NE,04,10-30,5396.9,-1032.5
EXP_NE,04,11-00,5464.8,-791.8000000000001
EXP_NE,04,11-30,5202.7,-786.1
EXP_NE,04,12-00,5082.8,-1118.0
EXP_NE,04,12-30,4970.0,-1164.2
EXP_NE,04,13-00,5386.9,-1119.6
EXP_NE,04,13-30,4948.4,-1136.5
EXP_NE,04,14-00,4627.5,-1192.3
EXP_NE,04,14-30,4444.5,-1187.5
EXP_NE,04,15-00,4403.8,-1276.4
EXP_NE,04,15-30,4391.6,-1294.3
EXP_NE,04,16-00,4770.6,-1245.0
EXP_NE,04,16-30,4964.6,-1180.6
EXP_NE,04,17-00,4292.4,-1336.4
EXP_NE,04,17-30,4179.1,-1379.0
EXP_NE,04,18-00,4691.3,-1259.7
EXP_NE,04,18-30,5185.8,-1340.6
EXP_NE,04,19-00,5216.9,-1440.3
EXP_NE,04,19-30,5330.8,-1344.9
EXP_NE,04,20-00,5186.9,-1383.5
EXP_NE,04,20-30,5347.6,-1277.8
EXP_NE,04,21-00,5298.9,-1245.2
EXP_NE,04,21-30,4923.4,-1272.1
EXP_NE,04,22-00,4492.3,-1429.1
EXP_NE,04,22-30,3602.5,-1453.8
EXP_NE,04,23-00,2907.4,-1550.6000000000001
EXP_NE,04,23-30,2666.6,-1259.0
EXP_NE,05,00-00,3543.6,-1342.8
EXP_NE,05,00-30,3783.4,-1333.7
EXP_NE,05,01-00,3760.2,-1437.9
EXP_NE,05,01-30,3450.9,-1431.8999999999999
EXP_NE,05,02-00,3460.0,-1206.3
EXP_NE,05,02-30,3156.7,-1348.5
EXP_NE,05,03-00,2795.0,-893.3000000000001
EXP_NE,05,03-30,2514.2,-1257.7
EXP_NE,05,04-00,2231.2,-1485.0
EXP_NE,05,04-30,2155.6,-1488.1000000000001
EXP_NE,05,05-00,2158.7000000000003,-1547.2
EXP_NE,05,05-30,2308.9,-1403.7
EXP_NE,05,06-00,2768.8,-1307.2
EXP_NE,05,06-30,3469.1,-1212.6
EXP_NE,05,07-00,3881.0,-1028.7
EXP_NE,05,07-30,4323.2,-963.7
EXP_NE,05,08-00,4074.1,-1063.2
EXP_NE,05,08-30,3932.6000000000004,-866.9
EXP_NE,05,09-00,3669.9,-1049.1
EXP_NE,05,09-30,3453.5,-951.3
EXP_NE,05,10-00,3974.2000000000003,-919.8
EXP_NE,05,10-30,3993.7000000000003,-1065.4
EXP_NE,05,11-00,4340.3,-925.8000000000001
EXP_NE,05,11-30,4651.9,-954.6
EXP_NE,05,12-00,4814.2,-1212.9
EXP_NE,05,12-30,4706.7,-1231.9
EXP_NE,05,13-00,4600.6,-1243.7
EXP_NE,05,13-30,4171.9,-1324.1000000000001
EXP_NE,05,14-00,3984.4,-1357.4
EXP_NE,05,14-30,4006.1,-1322.7
EXP_NE,05,15-00,3649.5,-1385.7
EXP_NE,05,15-30,3872.1,-1504.1
EXP_NE,05,16-00,3671.7,-1408.4
EXP_NE,05,16-30,3267.1,-1471.7
EXP_NE,05,17-00,3436.1000000000004,-1417.1000000000001
EXP_NE,05,17-30,3398.2999999999997,-1405.2
EXP_NE,05,18-00,3763.8,-1481.8
EXP_NE,05,18-30,4803.400000000001,-1417.9
EXP_NE,05,19-00,5065.7,-1333.9
EXP_NE,05,19-30,5009.5,-1468.3
EXP_NE,05,20-00,4854.4,-1372.3
EXP_NE,05,20-30,4297.3,-1393.1000000000001
EXP_NE,05,21-00,5085.7,-1470.9
EXP_NE,05,21-30,4858.9,-1330.3
EXP_NE,05,22-00,4472.7,-1361.6999999999998
EXP_NE,05,22-30,3752.0,-1483.8
EXP_NE,05,23-00,3415.8,-1542.0
EXP_NE,05,23-30,3445.1,-1516.5
EXP_NE,06,00-00,4823.0,-1362.3
EXP_NE,06,00-30,4980.6,-1275.8
EXP_NE,06,01-00,5046.0,-1309.7
EXP_NE,06,01-30,5044.0,-1295.2
EXP_NE,06,02-00,4963.3,-1342.7
EXP_NE,06,02-30,4378.1,-1380.2
EXP_NE,06,03-00,4295.1,-1373.6
EXP_NE,06,03-30,4381.7,-1398.0
EXP_NE,06,04-00,4329.5,-1390.6000000000001
EXP_NE,06,04-30,4270.9,-1374.1000000000001
EXP_NE,06,05-00,4164.1,-1422.3
EXP_NE,06,05-30,4073.6,-1186.8
EXP_NE,06,06-00,4441.0,-1126.5
EXP_NE,06,06-30,5357.3,-1037.0
EXP_NE,06,07-00,6423.5,-876.7
EXP_NE,06,07-30,7242.3,-759.5
EXP_NE,06,08-00,7396.7,-833.4
EXP_NE,06,08-30,7403.2,-799.2
EXP_NE,06,09-00,7227.0,-939.6
EXP_NE,06,09-30,7027.4,-957.7
EXP_NE,06,10-00,7284.3,-907.6
EXP_NE,06,10-30,7004.4,-964.5999999999999
EXP_NE,06,11-00,6840.0,-1002.6
EXP_NE,06,11-30,6706.5,-996.4
EXP_NE,06,12-00,6822.8,-887.4
EXP_NE,06,12-30,6769.9,-870.2
EXP_NE,06,13-00,6870.400000000001,-990.5999999999999
EXP_NE,06,13-30,6604.0,-1057.9
EXP_NE,06,14-00,6296.7,-1107.8
EXP_NE,06,14-30,6323.1,-1109.8
EXP_NE,06,15-00,6211.6,-1141.0
EXP_NE,06,15-30,6238.6,-1133.9
EXP_NE,06,16-00,5930.1,-1067.1
EXP_NE,06,16-30,5571.2,-1145.2
EXP_NE,06,17-00,5016.4,-1167.5
EXP_NE,06,17-30,4709.4,-1244.3999999999999
EXP_NE,06,18-00,5473.1,-1282.7
EXP_NE,06,18-30,6353.2,-1135.6
EXP_NE,06,19-00,6418.8,-1097.0
EXP_NE,06,19-30,6458.900000000001,-1111.3999999999999
EXP_NE,06,20-00,6277.5,-1231.1
EXP_NE,06,20-30,5528.2,-1307.8
EXP_NE,06,21-00,6026.7,-1145.5
EXP_NE,06,21-30,5564.2,-1230.8
EXP_NE,06,22-00,5188.6,-1237.3999999999999
EXP_NE,06,22-30,4356.3,-1350.1
EXP_NE,06,23-00,3915.2999999999997,-1423.4
EXP_NE,06,23-30,3637.7000000000003,-1475.7
EXP_NE,07,00-00,4326.7,-1359.1
EXP_NE,07,00-30,4176.8,-1386.0
EXP_NE,07,01-00,4094.9,-1393.6
EXP_NE,07,01-30,3890.0,-1359.7
EXP_NE,07,02-00,3255.8,-1473.7
EXP_NE,07,02-30,3272.2,-1409.7
